Adelaide,Adel.
Air Force,A.F.
Albany,Alb.
American Bar Association,A.B.A.
ABA,A.B.A.
American Intellectual Property Law Association,AIPLA
American Law Institute,A.L.I.
Journal of the American Medical Association,JAMA
American Medical Association,AMA
"American Society of Composers, Authors, & Publishers",ASCAP
American University,Am. U.
Boston College,B.C.
Boston University,B.U.
Brigham Young University,BYU
Brooklyn,Brook.
Buffalo,Buff.
California Law Review,Calif.
Capital,Cap.
Chapman,Chap.
Chartered Life Underwriters,C.L.U.
Cincinnati,Cin.
City University of New York,CUNY
Cleveland,Clev.
Columbia,Colum.
Cumberland,Cumb.
Denver,Denv.
Detroit,Det.
Dickinson,Dick.
Duquesne,Duq.
East,E.
Eastern,E.
Foreign Broadcast Information Service,F.B.I.S.
George Mason,Geo. Mason
George Washington,Geo. Wash.
Georgetown,Geo.
Gonzaga,Gonz.
Harvard,Harv.
Howard,How.
John Marshall,J. Marshall
Judge Advocate General,JAG
Judge Advocate General's,JAG
Las Vegas,L.V.
Lawyer's Reports Annotated,L.R.A.
Loyola,Loy.
Marquette,Marq.
Melbourne,Melb.
Memphis,Mem.
New England,New Eng.
New York University,N.Y.U.
New York University School of Law,N.Y.U.
North,N.
Northern,N.
Northeast,Ne.
Northeastern,Ne.
Northwest,Nw.
Northwestern,Nw.
Pepperdine,Pepp.
Pittsburgh,Pitt.
Richmond,Rich.
Rocky Mountain Mineral Law Institute,Rocky Mtn. Min. L. Inst.
Saint Louis,St. Louis
San Fernando Valley,San Fern. V.
Southeast,Se.
Southeastern,Se.
South,S.
Southern,S.
Southern Methodist University,SMU
Southwest,Sw.
Southwestern,Sw.
Stanford,Stan.
Temple,Temp.
Thomas Jefferson,T. Jefferson
Thomas M. Cooley,T.M. Cooley
Thurgood Marshall,T. Marshall
Toledo,Tol.
Tulane,Tul.
Universidad de Puerto Rico,U. P.R.
University of California,U.C.
University of California - Los Angeles,UCLA
University of Missouri Kansas City,UMKC
"University of the District of Columbia, David A. Clarke School of Law",UDC/DCSL
University of West Los Angeles,UWLA
Valparaiso,Val.
Vanderbilt,Vand.
Villanova,Vill.
Washington & Lee,Wash. & Lee
West,W.
Western,W.
William & Mary,Wm. & Mary
William Mitchell,Wm. Mitchell
Academic,Acad.
Academy,Acad.
Accountant,Acct.
Accountants,Acct.
Accounting,Acct.
Accountancy,Acct.
Administrative,Admin.
Administrator,Admin.
Administration,Admin.
Advertising,Advert.
Advocate,Advoc.
Advocacy,Advoc.
Affairs,Aff.
Africa,Afr.
African,Afr.
Agriculture,Agric.
Agricultural,Agric.
Amendment,Amend.
America,Am.
American,Am.
Americas,Am.
Ancestry,Anc.
and,&
Annual,Ann.
Appellate,App.
Arbitration,Arb.
Arbitrator,Arb.
Arbitrators,Arb.
Association,Ass'n
Attorney,Att'y
Bankruptcy,Bankr.
Bar,B.
Behavior,Behav.
Behavioral,Behav.
British,Brit.
Bulletin,Bull.
Business,Bus.
Capital,Cap.
Catholic,Cath.
Centre,Ctr.
Center,Ctr.
Central,Cent.
Children,Child.
Children's,Child.
Chronicle,Chron.
Circuit,Cir.
Civil,Civ.
Civil Liberties,C.L.
Civil Liberty,C.L.
Civil Rights,C.R.
College,C.
Commentary,Comment.
Commerce,Com.
Commercial,Com.
Communication,Comm.
Communications,Comm.
Comparative,Comp.
Conference,Conf.
Congressional,Cong.
Constitution,Const.
Constitutional,Const.
Contemporary,Contemp.
Contract,Cont.
Contracts,Cont.
Conveyancer,Conv.
Corporate,Corp.
Corporation,Corp.
Cosmetic,Cosm.
Counselor,Couns.
Counselors,Couns.
Counselor's,Couns.
Court,Ct.
Courts,Cts.
Criminal,Crim.
Defense,Def.
Delinquency,Delinq.
Department,Dep't
Derecho,Der.
Development,Dev.
Developments,Dev.
Digest,Dig.
Diplomacy,Dipl.
Dispute,Disp.
Doctor,Dr.
East,E.
Eastern,E.
Economic,Econ.
Economics,Econ.
Economical,Econ.
Economy,Econ.
Education,Educ.
Educational,Educ.
Employee,Emp.
Employment,Emp.
English,Eng.
Entertainment,Ent.
Environment,Env't
Environmental,Envtl.
Estate,Est.
Estates,Est.
Europe,Eur.
European,Eur.
Faculty,Fac.
Family,Fam.
Federal,Fed.
Federation,Fed'n
Finance,Fin.
Financial,Fin.
Fortnightly,Fort.
Forum,F.
Foundation,Found.
Foundations,Found.
General,Gen.
Government,Gov't
Hispanic,Hisp.
Historical,Hist.
History,Hist.
Hospital,Hosp.
Human,Hum.
Humanity,Human.
Humanities,Human.
Immigration,Immigr.
Independent,Indep.
Industrial,Indus.
Inequality,Ineq.
Information,Info.
Injury,Inj.
Institute,Inst.
Insurance,Ins.
Intellectual,Intell.
Interdisciplinary,Interdisc.
Interest,Int.
International,Int'l
Investments,Inv.
Investors,Inv.
Journal,J.
Judicial,Jud.
Juridical,Jurid.
Jurisprudence,Juris.
Justice,Just.
Juvenile,Juv.
Labor,Lab.
Law,L.
"Lawyer[s, s', 's]",Law.
Laywers,Law.
Lawyers',Law.
Lawyer's,Law.
Legislation,Legis.
Legislative,Legis.
Library,Libr.
Librarian,Libr.
Libraries,Libr.
Litigation,Litig.
Local,Loc.
Magazine,Mag.
Management,Mgmt.
Maritime,Mar.
Market,Mkt.
Matrimonial,Matrim.
Medical,Med.
Medicine,Med.
Military,Mil.
Mineral,Min.
Modern,Mod.
Municipal,Mun.
National,Nat'l
Nationality,Nat'lity
Natural,Nat.
Negligence,Negl.
Negotiation,Negot.
New Series,n.s.
Newsletter,Newsl.
Office,Off.
Order,Ord.
Organization,Org.
Pacific,Pac.
Patent,Pat.
Personal,Pers.
Perpsective,Persp.
Perspectives,Persp.
Philosophical,Phil.
Philosophy,Phil.
Planning,Plan.
Policy,Pol'y
Political,Pol.
Politics,Pol.
Practical,Prac.
Practice,Prac.
Practitioner,Prac.
Practitioners,Prac.
Private,Priv.
Probate,Prob.
Probation,Prob.
Problems,Probs.
Proceedings,Proc.
Procedure,Proc.
Products Liability,Prod. Liab.
Profession,Prof.
Professional,Prof.
Property,Prop.
Psychological,Psychol.
Psychology,Psychol.
Public,Pub.
Publishing,Pub.
Puertorriqueño,P.R.
Quarterly,Q.
Record,Rec.
Referee,Ref.
Referees,Ref.
Register,Reg.
Regulation,Reg.
Regulatory,Reg.
Relations,Rel.
Reports,Rep.
Reporter,Rep.
Reproductive,Reprod.
Reproduction,Reprod.
Research,Res.
Reserve,Res.
Resolution,Resol.
Responsibility,Resp.
Review,Rev.
Revista,Rev.
Rights,Rts.
School,Sch.
Science,Sci.
Sciences,Sci.
Scientific,Sci.
Scottish,Scot.
Section,Sec.
Securities,Sec.
Sentencing,Sent'g
Service,Serv.
Social,Soc.
Society,Soc'y
Sociological,Soc.
Sociology,Soc.
Solicitor,Solic.
Solicitors,Solic.
Solicitors',Solic.
Solicitor's,Solic.
State,St.
Statistics,Stat.
Statitical,Stat.
Studies,Stud.
Supreme Court,Sup. Ct.
Survey,Surv.
Symposium,Symp.
System,Sys.
Taxation,Tax'n
Teacher,Tchr.
Technology,Tech.
Technology,Tech.
Telecommunication,Telecomm.
Telecommunications,Telecomm.
Transnational,Transnat'l
Transportation,Transp.
Tribune,Trib.
Trust,Tr.
Trustee,Tr.
Trusts,Tr.
Uniform Commercial Code,UCC
United States,U.S.
Universities,U.
University,U.
Urban,Urb.
Utilities,Util.
Utility,Util.
Week,Wk.
Weekly,Wkly.
Yearbook,Y.B.
Year Book,Y.B.
Alabama,Ala.
Alaska,Alaska
Arizona,Ariz.
Arkansas,Ark.
California,Cal.
Colorado,Colo.
Connecticut,Conn.
Delaware,Del.
Florida,Fla.
Georgia,Ga.
Hawaii,Haw.
Idaho,Idaho
Illinois,Ill.
Indiana,Ind.
Iowa,Iowa
Kansas,Kan.
Kentucky,Ky.
Louisiana,La.
Maine,Me.
Maryland,Md.
